Date,Mileage,time_corr,pace_min
2012-12-18 00:00:00,4.76,,nan
2012-12-20 00:00:00,5.33,0:39:21,7.382739212007505
2012-12-30 00:00:00,4.47,0:35:22,7.912005965697242
2013-01-01 00:00:00,4.23,0:31:19,7.403467297084318
2013-01-05 00:00:00,5.09,0:43:38,8.57236411263916
2013-01-08 00:00:00,4.25,0:36:51,8.670588235294117
2013-01-10 00:00:00,3.3,0:25:30,7.727272727272728
2013-01-12 00:00:00,1.0,0:5:39,5.65
2013-01-13 00:00:00,3.1,0:18:53,6.091397849462366
2013-01-18 00:00:00,1.0,,nan
2013-01-20 00:00:00,6.0,,nan
2013-01-21 00:00:00,4.2,0:34:23,8.186507936507935
2013-01-24 00:00:00,3.1,0:24:47,7.994623655913979
2013-01-28 00:00:00,4.22,0:36:51,8.73222748815166
2013-01-29 00:00:00,2.13,0:21:26,10.062597809076683
2013-01-31 00:00:00,3.4,0:24:22,7.166666666666667
2013-02-05 00:00:00,4.15,0:33:28,8.064257028112449
2013-02-07 00:00:00,3.14,0:24:12,7.707006369426751
2013-02-20 00:00:00,5.5,0:54:44,9.951515151515151
2013-03-03 00:00:00,3.75,,nan
2013-03-10 00:00:00,7.9,1:08:26,8.662447257383967
2013-03-13 00:00:00,2.75,0:19:14,6.993939393939394
2013-03-17 00:00:00,7.33,1:03:52,8.713051386994088
2013-03-20 00:00:00,3.62,0:28:05,7.757826887661142
2013-03-23 00:00:00,5.2,0:46:29,8.939102564102564
2013-03-26 00:00:00,5.0,0:43:47,8.756666666666666
2013-04-01 00:00:00,7.0,1:00:36,8.657142857142857
2013-04-06 00:00:00,4.3,0:40:39,9.453488372093025
2013-04-07 00:00:00,3.62,0:25:23,7.011970534069982
2013-04-11 00:00:00,4.18,0:35:32,8.500797448165871
2013-04-17 00:00:00,1.12,0:9:00,8.035714285714285
2013-04-21 00:00:00,3.62,0:26:36,7.348066298342541
2013-04-28 00:00:00,5.66,0:43:57,7.765017667844522
2013-05-05 00:00:00,5.2,0:45:59,8.842948717948719
2013-05-12 00:00:00,5.2,0:50:12,9.653846153846153
2013-05-18 00:00:00,2.04,0:17:29,8.570261437908497
2013-05-21 00:00:00,3.62,0:26:16,7.2559852670349905
2013-05-24 00:00:00,4.22,0:36:24,8.625592417061613
2013-05-26 00:00:00,3.62,0:24:59,6.901473296500921
2013-05-29 00:00:00,3.4,0:26:27,7.779411764705882
2013-06-09 00:00:00,3.98,0:36:05,9.066164154103854
2013-06-12 00:00:00,3.1,0:25:28,8.21505376344086
2013-06-13 00:00:00,1.26,,nan
2013-06-14 00:00:00,5.8,0:44:20,7.64367816091954
2013-06-15 00:00:00,4.97,0:42:45,8.601609657947686
2013-06-17 00:00:00,2.62,0:22:46,8.689567430025445
2013-06-19 00:00:00,3.91,0:31:33,8.069053708439897
2013-06-21 00:00:00,2.81,0:23:32,8.374851720047449
