Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2017-01-28,8.1,NA,NA,1,28,1/28,5,0,1,1,5
2018-01-28,6,NA,NA,1,28,1/28,6,0,1,1,6
2019-01-28,5.75,NA,NA,1,28,1/28,7,0,1,1,7
2020-01-28,6.34,0:45:06,7.113564668769716,1,28,1/28,8,0,1,1,8
2021-01-28,8.44,1:03:26,7.515797788309637,1,28,1/28,9,1,1,1,9
2013-01-29,2.13,0:21:26,10.062597809076683,1,29,1/29,1,0,1,1,1
2015-01-29,6.03,0:47:07,7.813709231619679,1,29,1/29,2,0,1,1,2
2016-01-29,4.21,NA,NA,1,29,1/29,3,0,1,1,3
2017-01-29,12.04,1:23:56,6.9712070874861585,1,29,1/29,4,0,1,1,4
2018-01-29,10,1:15:11,7.5183333333333335,1,29,1/29,5,0,1,1,5
2019-01-29,9,NA,NA,1,29,1/29,6,0,1,1,6
2020-01-29,11.45,NA,NA,1,29,1/29,7,0,1,1,7
2021-01-29,7,0:47:18,6.757142857142857,1,29,1/29,8,1,1,1,8
2014-01-30,4.01,0:32:06,8.00498753117207,1,30,1/30,1,0,1,1,1
2016-01-30,1.86,0:9:27,5.080645161290322,1,30,1/30,2,0,1,1,2
2016-01-30,5.65,NA,NA,1,30,1/30,3,0,2,0,2
2017-01-30,5.5,0:39:43,7.221212121212121,1,30,1/30,4,0,1,1,3
2018-01-30,4.15,0:30:17,7.29718875502008,1,30,1/30,5,0,1,1,4
2018-01-30,10.09,NA,NA,1,30,1/30,6,0,2,0,4
2019-01-30,8,NA,NA,1,30,1/30,7,0,1,1,5
2020-01-30,6.3,0:45:17,7.1878306878306875,1,30,1/30,8,0,1,1,6
2021-01-30,7,0:49:20,7.0476190476190474,1,30,1/30,9,1,1,1,7
2013-01-31,3.4,0:24:22,7.166666666666667,1,31,1/31,1,0,1,1,1
2015-01-31,6.1,0:43:07,7.068306010928962,1,31,1/31,2,0,1,1,2
2016-01-31,11.53,1:27:53,7.622145128649899,1,31,1/31,3,0,1,1,3
2017-01-31,10.07,NA,NA,1,31,1/31,4,0,1,1,4
2018-01-31,10.09,1:19:22,7.865873802444665,1,31,1/31,5,0,1,1,5
2019-01-31,5,0:36:50,7.366666666666666,1,31,1/31,6,0,1,1,6
2021-01-31,15.04,1:49:17,7.2661790780141855,1,31,1/31,7,1,1,1,7
2011-02-01,2.95,0:21:58,7.446327683615819,2,1,2/1,1,0,1,1,1
2014-02-01,4.6,0:40:36,8.82608695652174,2,1,2/1,2,0,1,1,2
2015-02-01,8,0:59:35,7.447916666666667,2,1,2/1,3,0,1,1,3
2017-02-01,8,0:57:32,7.191666666666666,2,1,2/1,4,0,1,1,4
2018-02-01,10,1:16:34,7.656666666666666,2,1,2/1,5,0,1,1,5
2019-02-01,1,0:4:33,4.55,2,1,2/1,6,0,1,1,6
2019-02-01,7,NA,NA,2,1,2/1,7,0,2,0,6
2020-02-01,14.4,1:35:19,6.619212962962963,2,1,2/1,8,0,1,1,7
2021-02-01,5.57,0:48:05,8.632555356074208,2,1,2/1,9,0,1,1,8
2021-02-01,6.44,0:49:05,7.621635610766045,2,1,2/1,10,1,2,0,8
2015-02-02,5.14,0:34:34,6.725032425421531,2,2,2/2,1,0,1,1,1
2016-02-02,8.77,NA,NA,2,2,2/2,2,0,1,1,2
2017-02-02,6.02,0:45:03,7.483388704318938,2,2,2/2,3,0,1,1,3
2018-02-02,8,0:56:46,7.095833333333333,2,2,2/2,4,0,1,1,4
2019-02-02,9.25,1:10:12,7.589189189189189,2,2,2/2,5,0,1,1,5
2020-02-02,5.84,0:45:46,7.83675799086758,2,2,2/2,6,0,1,1,6
2021-02-02,7.1,0:55:20,7.793427230046948,2,2,2/2,7,1,1,1,7
2015-02-03,4.5,0:33:56,7.540740740740741,2,3,2/3,1,0,1,1,1
2016-02-03,6.5,0:47:24,7.292307692307692,2,3,2/3,2,0,1,1,2
2017-02-03,1.86,0:9:26,5.07168458781362,2,3,2/3,3,0,1,1,3
2017-02-03,5.65,NA,NA,2,3,2/3,4,0,2,0,3
2018-02-03,10,NA,NA,2,3,2/3,5,0,1,1,4
2019-02-03,14,NA,NA,2,3,2/3,6,0,1,1,5
2020-02-03,8.18,0:59:48,7.310513447432763,2,3,2/3,7,1,1,1,6
2010-02-04,2.6,0:24:03,9.25,2,4,2/4,1,0,1,1,1
2011-02-04,4.05,0:31:14,7.711934156378601,2,4,2/4,2,0,1,1,2
2012-02-04,4.1,0:32:00,7.8048780487804885,2,4,2/4,3,0,1,1,3
